id,LONG,LAT,accessibilite,nom
QUATVEN1,6.029967,47.259666,1,4 Vents
QUATVEN2,6.029016,47.259567,1,4 Vents
HMAI1,6.018151,47.234844,0,8 Mai
HMAI2,6.018301,47.23482,0,8 Mai
HUITSEP1,6.024275,47.2378,1,8 Septembre
OBSAFPA2,5.99651,47.24676,1,AFPA
OBSAFPA3,5.99625,47.24683,1,AFPA
AIGUILL1,6.038847,47.240772,0,Aiguille
AIGUILL2,6.038393,47.240826,0,Aiguille
t_allen1,5.9736724,47.21972,1,Allende
t_allen2,5.973468,47.219864,1,Allende
ALLEN1,5.974183,47.219585,1,Allende
ALLEN2,5.973348,47.21991,1,Allende
AMAGN13,6.135959,47.293423,0,Amagney - Combe Lançon
AMAGN14,6.136392,47.29379,0,Amagney - Combe Lançon
AMAGN11,6.145079,47.304764,0,Amagney - Douraise
AMAGN12,6.145531,47.3048,0,Amagney - Douraise
AMAGN05,6.150284,47.305943,0,Amagney - Fontaine
AMAGN06,6.150131,47.305893,0,Amagney - Fontaine
AMAGN07,6.154758,47.30101,0,Amagney - Les Mirabelles
AMAGN08,6.154579,47.301163,0,Amagney - Les Mirabelles
AMAGN01,6.158828,47.298786,0,Amagney - Malmaison
AMAGN03,6.151611,47.30494,0,Amagney - Prairie
AMAGN04,6.151689,47.304665,0,Amagney - Prairie
AMAGN17,6.139495,47.301243,0,Amagney - Prés Noirs
AMAGN18,6.139593,47.30127,0,Amagney - Prés Noirs
AMITIE1,5.983451,47.23254,1,Amitié
AMPERE1,5.98833,47.237457,0,Ampère
AMPERE3,5.988662,47.23662,0,Ampère
ANTOIN01,6.012526,47.27598,0,Antoine
ANTOIN02,6.012526,47.27598,0,Antoine
ARTOIS3,5.971575,47.223988,1,Artois
ARTOIS4,5.97165,47.22443,1,Artois
ARTOIS2,5.97055,47.221844,0,Artois
ATEMUNI3,5.995441,47.23571,0,Ateliers Municipaux
ATEMUNI4,5.9949646,47.235645,1,Ateliers Municipaux
AUBERG01,6.048749,47.217777,0,Auberge
AUBERG02,6.048749,47.217777,0,Auberge
AUDEU03,5.872575,47.262466,1,Audeux - Mairie
AUDEU04,5.872282,47.26236,1,Audeux - Mairie
AUDEU01,5.871447,47.2611,0,Audeux - Village
AUDEU02,5.871111,47.261112,0,Audeux - Village
AVANNE07,5.969797,47.208828,0,Avanne-Aveney - Chenoz
AVANNE08,5.969931,47.208897,0,Avanne-Aveney - Chenoz